"","V1","V2"
"Q8IV20","Purine nucleoside phosphorylase LACC1 (EC 2.4.2.1) (Adenosine deaminase LACC1) (EC 3.5.4.4) (Fatty acid metabolism-immunity nexus) (Guanosine phosphorylase LACC1) (Laccase domain-containing protein 1) (S-methyl-5'-thioadenosine phosphorylase LACC1) (EC 2.4.2.28)","3"
"Q9H257","Caspase recruitment domain-containing protein 9 (hCARD9)","2"
"Q8IUC6","TIR domain-containing adapter molecule 1 (TICAM-1) (Proline-rich, vinculin and TIR domain-containing protein B) (Putative NF-kappa-B-activating protein 502H) (Toll-interleukin-1 receptor domain-containing adapter protein inducing interferon beta) (MyD88-3) (TIR domain-containing adapter protein inducing IFN-beta)","1"
"P10145","Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]","4"
"Q9NZH7","Interleukin-36 beta (FIL1 eta) (Interleukin-1 eta) (IL-1 eta) (Interleukin-1 family member 8) (IL-1F8) (Interleukin-1 homolog 2) (IL-1H2)","4"
"P09429","High mobility group protein B1 (High mobility group protein 1) (HMG-1)","5"
"Q8BZT5","Leucine-rich repeat-containing protein 19","3"
"O95497","Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Tiff66) (Vascular non-inflammatory molecule 1) (Vanin-1)","2"
"O35718","Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (Protein EF-10)","4"
"O15205","Ubiquitin D (Diubiquitin) (Ubiquitin-like protein FAT10)","4"
"P42224","Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)","1"
"P43527","Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10]","3"
"Q9ULZ3","Apoptosis-associated speck-like protein containing a CARD (hASC) (Caspase recruitment domain-containing protein 5) (PYD and CARD domain-containing protein) (Target of methylation-induced silencing 1)","4"
"Q9EPY0","Caspase recruitment domain-containing protein 9 (rCARD9)","2"
"B0CM99","High mobility group protein B1 (High mobility group protein 1) (HMG-1)","5"
"Q6YKA4","High mobility group protein B1 (High mobility group protein 1) (HMG-1)","5"
"Q08IE6","High mobility group protein B1 (High mobility group protein 1) (HMG-1)","5"
"A9RA84","High mobility group protein B1 (High mobility group protein 1) (HMG-1)","5"
"P29466","Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10]","3"
"P29452","Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10]","3"
"P07156","High mobility group protein B1 (High mobility group protein 1) (HMG-1) (Fragment)","5"
"Q7Z434","Mitochondrial antiviral-signaling protein (MAVS) (CARD adapter inducing interferon beta) (Cardif) (Interferon beta promoter stimulator protein 1) (IPS-1) (Putative NF-kappa-B-activating protein 031N) (Virus-induced-signaling adapter) (VISA)","2"
"P47811","Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (CRK1) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha)","3"
"P70618","Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (CRK1) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha)","3"
"Q9UHA7","Interleukin-36 alpha (FIL1 epsilon) (Interleukin-1 epsilon) (IL-1 epsilon) (Interleukin-1 family member 6) (IL-1F6)","4"
"O15264","Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)","3"
"A0A7L0W5Y8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7N8XM05","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A2D0PR73","C-C motif chemokine","4"
"A0A2D0RCQ3","C-C motif chemokine","4"
"A0A7K6T3U8","C-C motif chemokine (Fragment)","4"
"A0A2D0SYA0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"Q20IL2","C-C motif chemokine","4"
"A0A2D0RJ99","C-C motif chemokine","4"
"A0A556TN29","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L1IHM2","C-C motif chemokine (Fragment)","4"
"A0A672IUT6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N9AM28","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L3QQZ2","C-C motif chemokine (Fragment)","4"
"A0A7K6T3D6","C-C motif chemokine (Fragment)","4"
"A0A7L0WY63","C-C motif chemokine (Fragment)","4"
"A0A672IEU8","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
